Titre du document;Fichier;Description du document;Page;Institution;Cote du document;Cote origine;Date du document;Support;Dimensions du document;Source
Interrogatoire des Templiers;Interrogatoire_templiers_AE_II_311_page2.jpg;"Interrogatoire des Templiers par les 
Commissaires royaux et inquisiteurs
De la foi";2 sur 14;Archives nationales (France);AE/II/311;J//413 n°25;13 novembre 1307;"Cahier de Papier";27 x 18,5 cm;http://www.culture.gouv.fr/Wave/image/archim/Pages/03818.htm
Lettre autographe de Henri de Navarre;Lettre_Henri_de_Navarre_AE_II_727.jpg;"Lettre autographe de Henri de Navarre écrite à 
Mont-de-Marsan le 10 octobre 1585 et adressée à La 
Bourlie, lui ordonnant de se mettre à la disposition du vicomte de 
Turenne qui lève une armée en Gascogne.";1;Archives nationales (France);AE/II/727 ;;10 octobre 1585;Papier;27 x 19,5 cm;
Lettre circulaire;Lettre_circulaire_Louis_IX_AE_II_227.jpg;"Lettre circulaire adressée par les prélats et barons du royaume 
aux évêques et grands feudataires pour les inviter à assister au 
Couronnement du jeune Louis IX, le 29 novembre 1226.";1;Archives nationales (France);AE/II/227 ; J//363/5;Novembre 1226.;Parchemin;12,5 x 23 cm;http://www.culture.gouv.fr/Wave/image/archim/0008/dafanch06_s200055n00001_2.jpg
Lettre d'adieu autographe de Charlotte Corday;Lettre_adieu_Charlotte_Corday_AE_II_1368.jpg;"Lettre d'adieu autographe de Charlotte Corday à son père, du 
16 juillet 1793, paraphé le 17 juillet par le tribunal criminel 
Révolutionnaire. ";1;Archives nationales (France);AE/II/1368;W//277/82/14;16 juillet 1793;Papier;23 x 19 cm;http://www.culture.gouv.fr/Wave/image/archim/0020/dafanch06_n200356n00001_2.jpg
"Lettre de Charles Baudelaire à l'impératrice 
Eugénie ";Lettre_Charles_Baudelaire_AE_II_1980_page1.JPG;"Lettre de Charles Baudelaire à l'impératrice 
Eugénie lui demandant d'intervenir afin que
Soit diminuée l'amende dont avaient été frappées
 Les Fleurs du mal";1;Archives nationales (France);AE/II/1980;BB/21/633;6 novembre 1857;Papier;32 x 21 cm;
"Lettre de Charles Baudelaire à l'impératrice 
Eugénie ";Lettre_Charles_Baudelaire_AE_II_1980_page2.JPG;"Lettre de Charles Baudelaire à l'impératrice 
Eugénie lui demandant d'intervenir afin que
Soit diminuée l'amende dont avaient été frappées
 Les Fleurs du mal";2;Archives nationales (France);AE/II/1980;BB/21/633;6 novembre 1857;Papier;32 x 21 cm;
Lettre de Charles duc d’Orléans;Lettre_Charles_duc_d_orleans-AE_II_450.jpg;"Lettre de Charles duc d’Orléans, prisonnier en 
Angleterre depuis la bataille d'Azincourt, adressée le 
16 juillet 1438 aux ecclésiastiques vivant sur ses domaines 
pour leur demander de lui prêter le revenu de leurs bénéfices 
pendant un an, afin de participer au financement de sa libération.";1;Archives nationales (France);AE/II/450 ; K//64/26;16 juillet 1438;Parchemin;18 x 30 cm;http://www.culture.gouv.fr/Wave/image/archim/0015/dafanch06_n200140n00001_2.jpg
Lettre de Louis XIII ;Lettre_Louis_XIII_a_Marie_de_Medicis_AE_II_789.jpg;"Lettre de Louis XIII à sa mère, Marie de
Médicis";1 et 2 ;Archives nationales (France);AE/II/789;KK//1355;21 mars 1618;Papier;29 x 21 cm;www.culture.gouv.fr/Wave/image/archim/0008/dafanch06_n200229n00002_2.jpg
Lettre de Philippe Le Bel;Lettre_Philippe_le_Bel_J_401_5.JPG;"Lettre de Philippe Le Bel par laquelle il déclare qu’en cas 
de son décès, la régence du royaume et la tutelle de son fils 
aîné, sera dévolue à la reine Jeanne ou si elle décède à son 
Frère Charles de Valois.
25 octobre 1300 ";1;Archives nationales (France);J//401/5 ;;25 octobre 1300;Parchemin;;
"Liste des prisonniers enfermés à la Bastille du 1er au 14 juillet 
1789.
";Liste_prisonniers_enfermes_Bastille_AE_II_1166_c.jpg;;1 à 4;Archives nationales (France);AE/II/1166/c ;C//35/298(6)/9;Juillet 1789;Papier;31,5 x 20 cm;http://l-k.be/9ya
Loi instituant un congé annuel rémunéré;Loi_instituant_un_conge_annuel_remunere_AE_II_2993_page1.jpg;;1 sur 4;Archives nationales (France);AE/II/2993;A// 1824;20 juin 1936;Papier;31 x 21 cm;http://www.culture.gouv.fr/Wave/image/archim/0008/dafanch06_n201198n00002_2.jpg
"Ordonnance relative à l'organisation de la
Sécurité sociale";Ordonnance_relative_securite_sociale_19780555_art_9_page1.jpg;"Ordonnance du 4 octobre 1945 relative à l'organisation de la
Sécurité sociale";1;Archives nationales (France);19780555 art 9 ;;4 octobre 1945;Papier;21.5 x 27 cm ;
"Ordre de Frédéric II
";Ordre_Frederic_II_AE_I_1_4.jpg;"Ordre de Frédéric II, empereur d’Allemagne, à ses officiers 
du royaume de Sicile de fournir à Louis IX, pendant tout le 
temps qu’il sera en Terre sainte, les armes, chevaux et 
vivres qui lui seront nécessaires, donné à Lucera en 
Novembre 1246.";1;Archives nationales (France);AE/I/1/4;"AE/III/101 et
J//419/4/3562";Novembre 1246;Parchemin;27 x 22 cm;http://www.culture.gouv.fr/Wave/image/archim/0008/dafanch06_s102092n00001_2.jpg
"Plan du souper du mariage de M. le 
Dauphin avec l’Archiduchesse Marie-Antoinette";Plan_souper_mariage_Louis_XVI_Marie_Antoinette_K_147_14_2.JPG;"Plan du souper du jour du mariage de M. le 
Dauphin avec l’Archiduchesse Marie-Antoinette célébré le 16 mai 
1770.";1;Archives nationales (France);K//147/14/2;;16 mai 1770;Papier;;
Procuration d'Anne de Bretagne;Procuration_Anne_de_Bretagne_AE_II_525.jpg;"Procuration d'Anne de Bretagne pour conclure un traité d'alliance 
Avec le roi d'Angleterre, donnée à Rennes, le 15 février 1490.
Signature autographe. Sceau pendant de la duchesse Anne. ";1;Archives nationales (France);"AE/II/525
";T//189/6;15 février 1490;Parchemin;25 x 59 cm;http://www.culture.gouv.fr/Wave/image/archim/0008/dafanch06_s200167n00001_2.jpg
Promesse du roi de Castille;Promesse-roi_de_castille_J_603_60.JPG;"Promesse du roi de Castille et Leon Henri de Trastamare, 
de se conformer à l’arbitrage du roi de France Charles V 
rendu sur son conflit avec le roi d’Aragon à Tolède en 
Novembre 1368.";1;Archives nationales (France);J//603/60;;Novembre 1368;Parchemin;;
Ratification du Traité de Troyes;Ratification_traite_Troyes_AE_III_254.jpg;"Ratification du Traité de Troyes conclu entre Henri V et Charles VI.
Acte rédigé en latin, daté du 21 mai 1420, à la cathédrale 
Saint-Pierre de Troyes.";1;Archives nationales (France);AE/III/254; J//646/15;21 mai 1420;Parchemin;54,5 x 70 cm;http://www.culture.gouv.fr/Wave/image/archim/0015/dafanch06_s302269n00001_2.jpg
"Ratification par Henri VIII
Du traité d'Ardres";Ratification_par_Henri_VIII_du_traite_d'Ardres_AE_III_33.jpg;", signé le 7 juin 
Ratification par Henri VIII, roi d'Angleterre
Du traité d'Ardresavec François Ier";1 sur 18;Archives nationales (France);AE/III/33;J//651 n°18 bis;17 juillet 1546;Parchemin;35,5 x 26,5 cm;http://www.culture.gouv.fr/Wave/image/archim/Pages/03598.htm
Testament de Suger, abbé de Saint-Denis;Testament_de_suger_AE_II_145.jpg;;1;Archives nationales (France);AE/II/145; K//22/9/7;17 juin 1137;Parchemin;44 x 60 cm;http://www.culture.gouv.fr/Wave/image/archim/0008/dafanch06_n200023n00001_2.jpg
Traité de paix de Münster;Traite_de_paix_Munster_AE_I_1_11.jpg;"Expédition solennelle du traité de paix de Münster faite à Vienne
Par Ferdinand III. Ce traité est l'un des traités de Westphalie qui
Mettent fin à la guerre de Trente Ans.";1 sur 97;Archives nationales (France);AE/I/1/11;J//925/5  et AE/III/111;7 novembre 1648;Parchemin;33,5 x 29 cm;http://www.culture.gouv.fr/Wave/image/archim/Pages/02099.htm
Traité des Pyrénées;Traite_des_Pyrenees_AE_III_45_a.jpg;"Traité des Pyrénées conclu entre la France et l'Espagne. Ce traité
Met fin à la guerre entre l'Espagne et la France qui durait depuis 24 
Ans.";1 sur 90;Archives nationales (France);AE/III/45/a ;J//930/2  et AE/II/852/a ;7novembre 1659;Papier;25 x  36 cm ;http://www.culture.gouv.fr/Wave/image/archim/Pages/06386.htm
